Province_State,Confirmed,Deceased,Recovered,Date
Alaska,1950,18,712.0,07-20-2020
American Samoa,0,0,,07-20-2020
Arizona,145183,2784,18518.0,07-20-2020
Arkansas,33927,363,26397.0,07-20-2020
California,397870,7770,,07-20-2020
Colorado,40548,1758,4969.0,07-20-2020
Connecticut,48055,4406,8466.0,07-20-2020
Delaware,13624,523,7362.0,07-20-2020
Diamond Princess,49,0,,07-20-2020
District of Columbia,11339,579,1909.0,07-20-2020
Florida,360394,5072,,07-20-2020
Georgia,145582,3177,,07-20-2020
Grand Princess,103,3,,07-20-2020
Guam,319,5,235.0,07-20-2020
Hawaii,1393,24,1043.0,07-20-2020
Idaho,15268,122,4149.0,07-20-2020
Illinois,163922,7494,,07-20-2020
Indiana,57206,2825,41322.0,07-20-2020
Iowa,39343,798,28024.0,07-20-2020
Kansas,22656,312,1016.0,07-20-2020
Kentucky,23414,671,6876.0,07-20-2020
Louisiana,94892,3462,53288.0,07-20-2020
Maine,3711,117,3159.0,07-20-2020
Maryland,78685,3382,5344.0,07-20-2020
Massachusetts,113789,8433,95390.0,07-20-2020
Michigan,82395,6373,55162.0,07-20-2020
Minnesota,47107,1585,40742.0,07-20-2020
Mississippi,43889,1358,30315.0,07-20-2020
Missouri,34102,1138,,07-20-2020
Montana,2620,39,1334.0,07-20-2020
Nebraska,22847,313,17112.0,07-20-2020
Nevada,36713,648,867.0,07-20-2020
New Hampshire,6249,398,5251.0,07-20-2020
New Jersey,176963,15715,31448.0,07-20-2020
New Mexico,17215,578,6764.0,07-20-2020
New York,407326,32506,72229.0,07-20-2020
North Carolina,101231,1677,78707.0,07-20-2020
North Dakota,5126,93,4219.0,07-20-2020
Northern Mariana Islands,38,2,29.0,07-20-2020
Ohio,76168,3189,51860.0,07-20-2020
Oklahoma,25436,452,19750.0,07-20-2020
Oregon,14847,262,3338.0,07-20-2020
Pennsylvania,106405,7025,76780.0,07-20-2020
Puerto Rico,12461,180,,07-20-2020
Rhode Island,17904,995,1738.0,07-20-2020
South Carolina,71445,1164,22553.0,07-20-2020
South Dakota,7943,118,6996.0,07-20-2020
Tennessee,79754,847,45974.0,07-20-2020
Texas,343783,4106,177871.0,07-20-2020
Utah,34526,247,21504.0,07-20-2020
Vermont,1360,56,1139.0,07-20-2020
Virgin Islands,304,6,135.0,07-20-2020
Virginia,78375,2031,10107.0,07-20-2020
Washington,47743,1453,,07-20-2020
West Virginia,5084,100,3466.0,07-20-2020
Wisconsin,43018,846,33130.0,07-20-2020
Wyoming,2187,24,1652.0,07-20-2020
Alabama,17359,618,9355.0,05-30-2020
Alaska,433,10,368.0,05-30-2020
American Samoa,0,0,,05-30-2020
Arizona,19258,904,4657.0,05-30-2020
Arkansas,7013,133,5166.0,05-30-2020
California,109895,4144,,05-30-2020
Colorado,26084,1443,3859.0,05-30-2020
Connecticut,42022,3912,7127.0,05-30-2020
Delaware,9422,361,5205.0,05-30-2020
Diamond Princess,49,0,,05-30-2020
District of Columbia,8717,462,1100.0,05-30-2020
Florida,55424,2447,,05-30-2020
Georgia,46331,2004,,05-30-2020
Grand Princess,103,3,,05-30-2020
Guam,172,5,144.0,05-30-2020
Hawaii,651,17,605.0,05-30-2020
Idaho,2803,82,2225.0,05-30-2020
Illinois,118917,5330,,05-30-2020
Indiana,34211,2125,,05-30-2020
Iowa,19244,531,11019.0,05-30-2020
Kansas,9690,215,547.0,05-30-2020
Kentucky,9704,431,3231.0,05-30-2020
Louisiana,39577,2786,28700.0,05-30-2020
Maine,2282,89,1505.0,05-30-2020
Maryland,52015,2509,3649.0,05-30-2020
Massachusetts,96301,6768,,05-30-2020
Michigan,56969,5464,38099.0,05-30-2020
Minnesota,24190,1036,17864.0,05-30-2020
Mississippi,15229,723,9401.0,05-30-2020
Missouri,13298,774,,05-30-2020
Montana,505,17,448.0,05-30-2020
Nebraska,13905,170,,05-30-2020
Nevada,8517,417,428.0,05-30-2020
New Hampshire,4492,238,2802.0,05-30-2020
New Jersey,159608,11634,26301.0,05-30-2020
New Mexico,7624,351,2728.0,05-30-2020
New York,369660,29710,65609.0,05-30-2020
North Carolina,27794,929,14954.0,05-30-2020
North Dakota,2554,60,1943.0,05-30-2020
Northern Mariana Islands,22,2,15.0,05-30-2020
Ohio,35033,2149,,05-30-2020
Oklahoma,6418,334,5435.0,05-30-2020
Oregon,4185,153,2137.0,05-30-2020
Pennsylvania,75697,5537,47133.0,05-30-2020
Puerto Rico,3718,133,,05-30-2020
Rhode Island,14819,711,1225.0,05-30-2020
South Carolina,11394,487,6459.0,05-30-2020
South Dakota,4960,62,3805.0,05-30-2020
Tennessee,22566,364,15193.0,05-30-2020
Texas,62675,1652,40068.0,05-30-2020
Utah,9533,112,5995.0,05-30-2020
Vermont,977,55,865.0,05-30-2020
Virgin Islands,69,6,61.0,05-30-2020
Virginia,43611,1370,5745.0,05-30-2020
Washington,21349,1118,,05-30-2020
West Virginia,1989,75,1290.0,05-30-2020
Wisconsin,18230,588,11338.0,05-30-2020
Wyoming,898,16,658.0,05-30-2020
Alabama,8437,315,,05-05-2020
Alaska,371,9,277.0,05-05-2020
American Samoa,0,0,,05-05-2020
Arizona,9305,395,1671.0,05-05-2020
Arkansas,3525,83,2041.0,05-05-2020
California,58456,2381,,05-05-2020
Colorado,17367,903,2743.0,05-05-2020
Connecticut,30621,2633,4346.0,05-05-2020
Delaware,5371,187,1847.0,05-05-2020
Diamond Princess,49,0,,05-05-2020
District of Columbia,5322,264,667.0,05-05-2020
Florida,37439,1471,,05-05-2020
Georgia,29998,1299,,05-05-2020
Grand Princess,103,3,,05-05-2020
Guam,145,5,124.0,05-05-2020
Hawaii,625,17,548.0,05-05-2020
Idaho,2127,65,1358.0,05-05-2020
Illinois,65889,2834,,05-05-2020
Indiana,21033,1211,,05-05-2020
Iowa,10111,207,3572.0,05-05-2020
Kansas,5648,161,296.0,05-05-2020
Kentucky,5822,275,1892.0,05-05-2020
Louisiana,29996,2115,20316.0,05-05-2020
Maine,1226,61,741.0,05-05-2020
Maryland,27117,1390,1810.0,05-05-2020
Massachusetts,70271,4212,,05-05-2020
Michigan,44451,4183,15659.0,05-05-2020
Minnesota,7851,455,4614.0,05-05-2020
Mississippi,8207,342,4421.0,05-05-2020
Missouri,9121,409,,05-05-2020
Montana,456,16,410.0,05-05-2020
Nebraska,6373,78,,05-05-2020
Nevada,5660,270,200.0,05-05-2020
New Hampshire,2636,92,1019.0,05-05-2020
New Jersey,130593,8244,15642.0,05-05-2020
New Mexico,4138,162,842.0,05-05-2020
New York,321192,25124,58950.0,05-05-2020
North Carolina,12510,472,,05-05-2020
North Dakota,1266,25,559.0,05-05-2020
Northern Mariana Islands,14,2,12.0,05-05-2020
Ohio,20969,1135,,05-05-2020
Oklahoma,4127,247,2830.0,05-05-2020
Oregon,2839,113,860.0,05-05-2020
Pennsylvania,53864,3179,,05-05-2020
Puerto Rico,1924,99,,05-05-2020
Rhode Island,9933,355,639.0,05-05-2020
South Carolina,6841,296,3622.0,05-05-2020
South Dakota,2721,24,1895.0,05-05-2020
Tennessee,13690,226,6356.0,05-05-2020
Texas,33912,925,16791.0,05-05-2020
Utah,5449,56,2387.0,05-05-2020
Vermont,907,52,,05-05-2020
Virgin Islands,66,4,51.0,05-05-2020
Virginia,20257,713,2617.0,05-05-2020
Washington,15594,862,,05-05-2020
West Virginia,1246,48,630.0,05-05-2020
Wisconsin,8566,353,4131.0,05-05-2020
Wyoming,604,7,405.0,05-05-2020
Alabama,74212,1397,32510.0,07-23-2020
Alaska,2193,19,787.0,07-23-2020
American Samoa,0,0,,07-23-2020
Arizona,152944,3063,19737.0,07-23-2020
Arkansas,36259,386,28864.0,07-23-2020
California,430773,8201,,07-23-2020
Colorado,42295,1786,5095.0,07-23-2020
Connecticut,48232,4410,8516.0,07-23-2020
Delaware,13924,529,7893.0,07-23-2020
Diamond Princess,49,0,,07-23-2020
District of Columbia,11571,581,2020.0,07-23-2020
Florida,389868,5518,,07-23-2020
Georgia,156607,3361,,07-23-2020
Grand Princess,103,3,,07-23-2020
Guam,337,5,244.0,07-23-2020
Hawaii,1490,26,1113.0,07-23-2020
Idaho,16737,138,4746.0,07-23-2020
Illinois,168096,7560,,07-23-2020
Indiana,59602,2880,42603.0,07-23-2020
Iowa,40796,820,28924.0,07-23-2020
Kansas,23956,322,1050.0,07-23-2020
Kentucky,25147,684,7046.0,07-23-2020
Louisiana,101650,3574,61456.0,07-23-2020
Maine,3737,118,3239.0,07-23-2020
Maryland,80836,3409,5434.0,07-23-2020
Massachusetts,114647,8484,96452.0,07-23-2020
Michigan,84431,6395,55162.0,07-23-2020
Minnesota,48721,1601,42524.0,07-23-2020
Mississippi,48053,1436,30315.0,07-23-2020
Missouri,38060,1189,,07-23-2020
Montana,2909,43,1587.0,07-23-2020
Nebraska,23818,316,17499.0,07-23-2020
Nevada,39919,709,975.0,07-23-2020
New Hampshire,6318,405,5341.0,07-23-2020
New Jersey,177887,15730,31925.0,07-23-2020
New Mexico,18163,596,6974.0,07-23-2020
New York,409697,32594,72466.0,07-23-2020
North Carolina,107125,1756,78707.0,07-23-2020
North Dakota,5493,97,4475.0,07-23-2020
Northern Mariana Islands,38,2,29.0,07-23-2020
Ohio,80186,3256,55702.0,07-23-2020
Oklahoma,27969,477,22441.0,07-23-2020
Oregon,15713,273,3509.0,07-23-2020
Pennsylvania,109037,7093,78268.0,07-23-2020
Puerto Rico,13473,188,,07-23-2020
Rhode Island,18148,1001,1759.0,07-23-2020
South Carolina,76606,1334,27062.0,07-23-2020
South Dakota,8143,121,7214.0,07-23-2020
Tennessee,86987,925,51661.0,07-23-2020
Texas,373037,4622,203826.0,07-23-2020
Utah,36099,267,23093.0,07-23-2020
Vermont,1377,56,1156.0,07-23-2020
Virgin Islands,336,7,182.0,07-23-2020
Virginia,81237,2054,10479.0,07-23-2020
Washington,50009,1482,,07-23-2020
West Virginia,5452,102,3913.0,07-23-2020
Wisconsin,45899,878,35502.0,07-23-2020
Wyoming,2347,25,1794.0,07-23-2020
Alabama,33206,896,18866.0,06-25-2020
Alaska,813,12,513.0,06-25-2020
American Samoa,0,0,,06-25-2020
Arizona,63281,1495,8139.0,06-25-2020
Arkansas,18062,240,12127.0,06-25-2020
California,201112,5806,,06-25-2020
Colorado,31463,1669,4392.0,06-25-2020
Connecticut,45994,4298,8053.0,06-25-2020
Delaware,10980,507,6646.0,06-25-2020
Diamond Princess,49,0,,06-25-2020
District of Columbia,10159,543,1182.0,06-25-2020
Florida,114018,3327,,06-25-2020
Georgia,71095,2745,,06-25-2020
Grand Princess,103,3,,06-25-2020
Guam,231,5,174.0,06-25-2020
Hawaii,851,17,686.0,06-25-2020
Idaho,4865,90,3610.0,06-25-2020
Illinois,139434,6810,,06-25-2020
Indiana,43655,2586,33036.0,06-25-2020
Iowa,27373,696,17017.0,06-25-2020
Kansas,13107,262,747.0,06-25-2020
Kentucky,14617,546,3719.0,06-25-2020
Louisiana,53415,3164,39792.0,06-25-2020
Maine,3070,103,2512.0,06-25-2020
Maryland,65777,3129,4874.0,06-25-2020
Massachusetts,107837,7962,,06-25-2020
Michigan,68989,6133,49290.0,06-25-2020
Minnesota,34123,1441,29854.0,06-25-2020
Mississippi,24516,1016,17242.0,06-25-2020
Missouri,19637,987,,06-25-2020
Montana,803,21,572.0,06-25-2020
Nebraska,18346,260,12099.0,06-25-2020
Nevada,14859,495,682.0,06-25-2020
New Hampshire,5638,357,4358.0,06-25-2020
New Jersey,170196,14872,29740.0,06-25-2020
New Mexico,11192,485,4984.0,06-25-2020
New York,390415,31301,70010.0,06-25-2020
North Carolina,57472,1336,36921.0,06-25-2020
North Dakota,3393,78,3064.0,06-25-2020
Northern Mariana Islands,30,2,19.0,06-25-2020
Ohio,47651,2772,,06-25-2020
Oklahoma,11948,375,8507.0,06-25-2020
Oregon,7568,197,2649.0,06-25-2020
Pennsylvania,88141,6557,65340.0,06-25-2020
Puerto Rico,6877,151,,06-25-2020
Rhode Island,16640,920,1588.0,06-25-2020
South Carolina,29022,693,12317.0,06-25-2020
South Dakota,6479,87,5592.0,06-25-2020
Tennessee,38034,567,25280.0,06-25-2020
Texas,134558,2317,74496.0,06-25-2020
Utah,19374,164,10642.0,06-25-2020
Vermont,1191,56,938.0,06-25-2020
Virgin Islands,80,6,64.0,06-25-2020
Virginia,59946,1675,7818.0,06-25-2020
Washington,30367,1300,,06-25-2020
West Virginia,2694,92,1858.0,06-25-2020
Wisconsin,26227,766,20557.0,06-25-2020
Wyoming,1326,20,996.0,06-25-2020
Alabama,37175,929,18866.0,06-29-2020
Alaska,901,14,525.0,06-29-2020
American Samoa,0,0,,06-29-2020
Arizona,74545,1598,9179.0,06-29-2020
Arkansas,20257,265,14066.0,06-29-2020
California,223646,5983,,06-29-2020
Colorado,32494,1681,4459.0,06-29-2020
Connecticut,46362,4320,8053.0,06-29-2020
Delaware,11376,507,6665.0,06-29-2020
Diamond Princess,49,0,,06-29-2020
District of Columbia,10292,551,1200.0,06-29-2020
Florida,146341,3447,,06-29-2020
Georgia,79417,2784,,06-29-2020
Grand Princess,103,3,,06-29-2020
Guam,253,5,179.0,06-29-2020
Hawaii,900,18,719.0,06-29-2020
Idaho,5752,91,3898.0,06-29-2020
Illinois,142461,6902,,06-29-2020
Indiana,45228,2624,34348.0,06-29-2020
Iowa,28845,711,17851.0,06-29-2020
Kansas,14209,273,794.0,06-29-2020
Kentucky,15347,560,3939.0,06-29-2020
Louisiana,57081,3199,42225.0,06-29-2020
Maine,3219,105,2623.0,06-29-2020
Maryland,67254,3175,4979.0,06-29-2020
Massachusetts,108768,8094,,06-29-2020
Michigan,70223,6161,51099.0,06-29-2020
Minnesota,35861,1470,31225.0,06-29-2020
Mississippi,26567,1059,19388.0,06-29-2020
Missouri,20825,1004,,06-29-2020
Montana,919,22,609.0,06-29-2020
Nebraska,19042,269,13322.0,06-29-2020
Nevada,17894,504,689.0,06-29-2020
New Hampshire,5760,367,4435.0,06-29-2020
New Jersey,171272,14992,30163.0,06-29-2020
New Mexico,11982,493,5264.0,06-29-2020
New York,393403,31403,70435.0,06-29-2020
North Carolina,63736,1357,45538.0,06-29-2020
North Dakota,3539,79,3163.0,06-29-2020
Northern Mariana Islands,30,2,19.0,06-29-2020
Ohio,51046,2818,,06-29-2020
Oklahoma,13175,385,9587.0,06-29-2020
Oregon,8485,204,2700.0,06-29-2020
Pennsylvania,90467,6614,67070.0,06-29-2020
Puerto Rico,7250,153,,06-29-2020
Rhode Island,16764,946,1627.0,06-29-2020
South Carolina,34644,720,13456.0,06-29-2020
South Dakota,6716,91,5818.0,06-29-2020
Tennessee,42297,592,26962.0,06-29-2020
Texas,156706,2416,81335.0,06-29-2020
Utah,21664,168,12205.0,06-29-2020
Vermont,1208,56,949.0,06-29-2020
Virgin Islands,81,6,71.0,06-29-2020
Virginia,62189,1740,8023.0,06-29-2020
Washington,32253,1320,,06-29-2020
West Virginia,2870,93,2196.0,06-29-2020
Wisconsin,28058,777,22217.0,06-29-2020
Wyoming,1450,20,1070.0,06-29-2020
Alabama,14986,566,7951.0,05-25-2020
Alaska,408,10,361.0,05-25-2020
American Samoa,0,0,,05-25-2020
Arizona,16575,807,4204.0,05-25-2020
Arkansas,6029,117,4249.0,05-25-2020
California,96400,3769,,05-25-2020
Colorado,24256,1333,3666.0,05-25-2020
Connecticut,40873,3742,7127.0,05-25-2020
Delaware,8965,332,4693.0,05-25-2020
Diamond Princess,49,0,,05-25-2020
District of Columbia,8225,440,1080.0,05-25-2020
Florida,51746,2252,,05-25-2020
Georgia,43400,1848,,05-25-2020
Grand Princess,103,3,,05-25-2020
Guam,166,5,138.0,05-25-2020
Hawaii,643,17,591.0,05-25-2020
Idaho,2626,79,1755.0,05-25-2020
Illinois,112017,4885,,05-25-2020
Indiana,31715,1984,,05-25-2020
Iowa,17557,456,9377.0,05-25-2020
Kansas,9125,207,493.0,05-25-2020
Kentucky,8571,391,3102.0,05-25-2020
Louisiana,37809,2691,28700.0,05-25-2020
Maine,2074,78,1290.0,05-25-2020
Maryland,47152,2302,3329.0,05-25-2020
Massachusetts,93271,6416,,05-25-2020
Michigan,54881,5241,33168.0,05-25-2020
Minnesota,21315,890,14816.0,05-25-2020
Mississippi,13458,635,9401.0,05-25-2020
Missouri,12476,689,,05-25-2020
Montana,479,16,441.0,05-25-2020
Nebraska,12362,147,,05-25-2020
Nevada,7956,394,359.0,05-25-2020
New Hampshire,4197,210,2204.0,05-25-2020
New Jersey,155092,11147,25253.0,05-25-2020
New Mexico,7026,320,2464.0,05-25-2020
New York,362764,29229,64280.0,05-25-2020
North Carolina,24057,790,14954.0,05-25-2020
North Dakota,2457,54,1551.0,05-25-2020
Northern Mariana Islands,22,2,13.0,05-25-2020
Ohio,32477,1987,,05-25-2020
Oklahoma,6090,313,4714.0,05-25-2020
Oregon,3949,148,1376.0,05-25-2020
Pennsylvania,71925,5146,40911.0,05-25-2020
Puerto Rico,3260,129,,05-25-2020
Rhode Island,14065,608,1119.0,05-25-2020
South Carolina,10178,440,6063.0,05-25-2020
South Dakota,4586,50,3415.0,05-25-2020
Tennessee,20535,338,13073.0,05-25-2020
Texas,56409,1533,35292.0,05-25-2020
Utah,8521,98,5218.0,05-25-2020
Vermont,962,54,843.0,05-25-2020
Virgin Islands,69,6,61.0,05-25-2020
Virginia,37727,1208,5145.0,05-25-2020
Washington,20065,1070,,05-25-2020
West Virginia,1774,72,1135.0,05-25-2020
Wisconsin,15584,514,9207.0,05-25-2020
Wyoming,843,12,575.0,05-25-2020
Alabama,89349,1603,35401.0,08-01-2020
Alaska,3136,24,930.0,08-01-2020
American Samoa,0,0,,08-01-2020
Arizona,177002,3747,23064.0,08-01-2020
Arkansas,43173,458,36034.0,08-01-2020
California,506613,9345,,08-01-2020
Colorado,47249,1844,5334.0,08-01-2020
Connecticut,49810,4432,8613.0,08-01-2020
Delaware,14877,585,8212.0,08-01-2020
Diamond Princess,49,0,,08-01-2020
District of Columbia,12057,584,9816.0,08-01-2020
Florida,480028,7022,,08-01-2020
Georgia,190012,3825,,08-01-2020
Grand Princess,103,3,,08-01-2020
Guam,356,5,304.0,08-01-2020
Hawaii,2197,26,1243.0,08-01-2020
Idaho,21110,197,6998.0,08-01-2020
Illinois,181754,7700,,08-01-2020
Indiana,67122,2971,46955.0,08-01-2020
Iowa,45293,874,32819.0,08-01-2020
Kansas,27592,358,1178.0,08-01-2020
Kentucky,30723,740,8135.0,08-01-2020
Louisiana,116280,3949,74246.0,08-01-2020
Maine,3937,123,3377.0,08-01-2020
Maryland,89365,3506,5713.0,08-01-2020
Massachusetts,118040,8626,97595.0,08-01-2020
Michigan,91332,6457,60022.0,08-01-2020
Minnesota,55188,1646,48119.0,08-01-2020
Mississippi,59881,1693,35071.0,08-01-2020
Missouri,51632,1276,,08-01-2020
Montana,4081,61,2456.0,08-01-2020
Nebraska,26391,332,19172.0,08-01-2020
Nevada,49074,832,1127.0,08-01-2020
New Hampshire,6614,416,5794.0,08-01-2020
New Jersey,182029,15830,32475.0,08-01-2020
New Mexico,20796,651,8139.0,08-01-2020
New York,415767,32694,73134.0,08-01-2020
North Carolina,124006,1979,92302.0,08-01-2020
North Dakota,6602,103,5396.0,08-01-2020
Northern Mariana Islands,44,2,29.0,08-01-2020
Ohio,92087,3515,67319.0,08-01-2020
Oklahoma,37731,549,30282.0,08-01-2020
Oregon,18817,325,3872.0,08-01-2020
Pennsylvania,117468,7219,85831.0,08-01-2020
Puerto Rico,17872,225,,08-01-2020
Rhode Island,19022,1007,1823.0,08-01-2020
South Carolina,90599,1751,32859.0,08-01-2020
South Dakota,8867,134,7820.0,08-01-2020
Tennessee,108184,1067,67651.0,08-01-2020
Texas,444738,6865,282604.0,08-01-2020
Utah,40702,310,28747.0,08-01-2020
Vermont,1421,57,1231.0,08-01-2020
Virgin Islands,421,8,341.0,08-01-2020
Virginia,90801,2215,12007.0,08-01-2020
Washington,57541,1592,,08-01-2020
West Virginia,6738,116,4858.0,08-01-2020
Wisconsin,54002,947,43284.0,08-01-2020
Wyoming,2769,26,2153.0,08-01-2020
Alabama,9668,390,,05-09-2020
Alaska,378,10,318.0,05-09-2020
American Samoa,0,0,,05-09-2020
