Date,Confirmed,Deceased,Recovered,Total_Confirmed,Total_Deceased,Total_Recovered
2020-09-14,2540,15,2110,110818,455,79808
2020-09-15,3216,11,2532,114034,466,82340
2020-09-16,3830,14,2263,117864,480,84603
2020-09-17,4351,10,2737,122215,490,87340
2020-09-18,4167,12,2744,126382,502,90084
2020-09-19,4644,18,2862,131026,520,92946
2020-09-20,4696,16,2751,135722,536,95697
2020-09-21,2910,18,3022,138632,554,98719
2020-09-22,4125,19,3007,142757,573,101726
2020-09-23,5376,20,2951,148133,593,104677
