Date,Confirmed,Deceased,Recovered,Total_Confirmed,Total_Deceased,Total_Recovered
2020-05-28,344,6,90,4536,295,1668
2020-05-29,277,7,107,4813,302,1775
2020-05-30,317,7,195,5130,309,1970
2020-05-31,371,8,187,5501,317,2157
2020-06-01,271,8,149,5772,325,2306
2020-06-02,396,10,104,6168,335,2410
2020-06-03,340,10,170,6508,345,2580
2020-06-04,368,10,188,6876,355,2768
2020-06-05,427,11,144,7303,366,2912
2020-06-06,435,17,207,7738,383,3119
2020-06-07,449,13,184,8187,396,3303
2020-06-08,426,9,162,8613,405,3465
2020-06-09,372,10,155,8985,415,3620
2020-06-10,343,17,159,9328,432,3779
2020-06-11,440,10,209,9768,442,3988
2020-06-12,476,9,218,10244,451,4206
2020-06-13,454,12,336,10698,463,4542
2020-06-14,389,12,518,11087,475,5060
2020-06-15,407,10,434,11494,485,5494
2020-06-16,415,10,534,11909,495,6028
2020-06-17,391,11,505,12300,506,6533
2020-06-18,435,12,468,12735,518,7001
2020-06-19,355,11,302,13090,529,7303
2020-06-20,441,11,562,13531,540,7865
2020-06-21,414,15,432,13945,555,8297
2020-06-22,413,14,390,14358,569,8687
2020-06-23,370,11,531,14728,580,9218
2020-06-24,445,11,484,15173,591,9702
2020-06-25,475,15,488,15648,606,10190
2020-06-26,542,10,345,16190,616,10535
2020-06-27,521,13,254,16711,629,10789
2020-06-28,572,10,404,17283,639,11193
2020-06-29,624,14,526,17907,653,11719
2020-06-30,652,15,411,18559,668,12130
2020-07-01,611,15,398,19170,683,12528
2020-07-02,649,16,509,19819,699,13037
2020-07-03,669,18,534,20488,717,13571
2020-07-04,743,19,595,21231,736,14166
2020-07-05,895,21,545,22126,757,14711
2020-07-06,861,22,524,22987,779,15235
2020-07-07,850,25,555,23837,804,15790
2020-07-08,986,23,501,24823,827,16291
2020-07-09,1088,27,535,25911,854,16826
2020-07-10,1198,26,522,27109,880,17348
2020-07-11,1344,26,611,28453,906,17959
2020-07-12,1560,26,622,30013,932,18581
2020-07-13,1435,24,632,31448,956,19213
2020-07-14,1390,24,718,32838,980,19931
2020-07-15,1589,20,749,34427,1000,20680
2020-07-16,1690,23,735,36117,1023,21415
2020-07-17,1894,26,838,38011,1049,22253
2020-07-18,2198,27,1286,40209,1076,23539
2020-07-19,2278,36,1344,42487,1112,24883
2020-07-20,2282,35,1535,44769,1147,26418
2020-07-21,2261,35,1617,47030,1182,28035
2020-07-22,2291,39,1615,49321,1221,29650
2020-07-23,2436,34,2006,51757,1255,31656
2020-07-24,2216,35,1873,53973,1290,33529
2020-07-25,2404,42,2125,56377,1332,35654
2020-07-26,2341,40,2097,58718,1372,37751
2020-07-27,2112,39,2166,60830,1411,39917
2020-07-28,2134,38,2105,62964,1449,42022
2020-07-29,2294,41,2094,65258,1490,44116
2020-07-30,2434,46,2140,67692,1536,46256
2020-07-31,2496,45,2118,70188,1581,48374
2020-08-01,2589,48,2143,72777,1629,50517
2020-08-02,2739,49,2213,75516,1678,52730
2020-08-03,2716,53,2088,78232,1731,54818
2020-08-04,2752,54,2066,80984,1785,56884
2020-08-05,2816,61,2078,83800,1846,58962
2020-08-06,2954,56,2061,86754,1902,61023
2020-08-07,2912,52,2037,89666,1954,63060
2020-08-08,2949,51,2064,92615,2005,65124
2020-08-09,2939,54,1996,95554,2059,67120
2020-08-10,2905,41,3208,98459,2100,70328
2020-08-11,2931,49,3067,101390,2149,73395
2020-08-12,2936,54,2725,104326,2203,76120
2020-08-13,2997,56,2497,107323,2259,78617
2020-08-14,3035,60,2572,110358,2319,81189
2020-08-15,3074,58,2647,113432,2377,83836
2020-08-16,3066,51,2935,116498,2428,86771
2020-08-17,3080,45,2932,119578,2473,89703
2020-08-18,3175,55,2987,122753,2528,92690
2020-08-19,3169,53,2973,125922,2581,95663
2020-08-20,3197,53,3126,129119,2634,98789
2020-08-21,3245,55,3082,132364,2689,101871
2020-08-22,3232,48,3088,135596,2737,104959
2020-08-23,3274,57,3048,138870,2794,108007
2020-08-24,2967,57,3285,141837,2851,111292
2020-08-25,2964,58,3251,144801,2909,114543
2020-08-26,2974,55,3314,147775,2964,117857
2020-08-27,2997,53,3189,150772,3017,121046
2020-08-28,2982,56,3286,153754,3073,124332
2020-08-29,3012,53,3312,156766,3126,127644
2020-08-30,3019,50,3308,159785,3176,130952
2020-08-31,2993,52,3318,162778,3228,134270
2020-09-01,2943,55,3346,165721,3283,137616
2020-09-02,2976,56,3297,168697,3339,140913
2020-09-03,2984,55,3335,171681,3394,144248
2020-09-04,2978,58,3305,174659,3452,147553
2020-09-05,3042,58,3248,177701,3510,150801
2020-09-06,3087,52,3207,180788,3562,154008
2020-09-07,3077,58,3021,183865,3620,157029
2020-09-08,3091,57,2996,186956,3677,160025
2020-09-09,3107,53,2967,190063,3730,162992
2020-09-10,3112,41,3035,193175,3771,166027
2020-09-11,3157,57,3016,196332,3828,169043
2020-09-12,3161,59,3042,199493,3887,172085
2020-09-13,3215,58,3054,202708,3945,175139
2020-09-14,3211,58,3084,205919,4003,178223
2020-09-15,3227,59,2919,209146,4062,181142
2020-09-16,3237,61,2971,212383,4123,184113
2020-09-17,3197,60,2948,215580,4183,187061
2020-09-18,3192,59,2960,218772,4242,190021
2020-09-19,3188,56,2993,221960,4298,193014
2020-09-20,3177,61,2958,225137,4359,195972
2020-09-21,3165,62,3011,228302,4421,198983
2020-09-22,3182,62,3047,231484,4483,202030
2020-09-23,3189,61,2998,234673,4544,205028
2020-09-24,3196,62,3014,237869,4606,208042
2020-09-25,3190,59,2978,241059,4665,211020
2020-09-26,3181,56,2955,244240,4721,213975
2020-09-27,3185,60,2946,247425,4781,216921
2020-09-28,3155,56,2923,250580,4837,219844
2020-09-29,3188,62,2961,253768,4899,222805
2020-09-30,3281,59,2954,257049,4958,225759
2020-10-01,3275,59,2996,260324,5017,228755
2020-10-02,3310,53,2944,263634,5070,231699
2020-10-03,3340,62,3013,266974,5132,234712
2020-10-04,3357,62,2986,270331,5194,237698
2020-10-05,3348,61,3009,273679,5255,240707
2020-10-06,3370,63,3036,277049,5318,243743
2020-10-07,3455,58,3024,280504,5376,246767
2020-10-08,3526,63,2970,284030,5439,249737
2020-10-09,3573,62,3069,287603,5501,252806
2020-10-10,3591,62,3032,291194,5563,255838
2020-10-11,3612,59,3110,294806,5622,258948
2020-10-12,3583,60,3155,298389,5682,262103
2020-10-13,3631,62,3185,302020,5744,265288
2020-10-14,3677,64,3096,305697,5808,268384
2020-10-15,3720,62,3179,309417,5870,271563
2020-10-16,3771,61,3194,313188,5931,274757
2020-10-17,3865,61,3183,317053,5992,277940
2020-10-18,3983,64,3113,321036,6056,281053
2020-10-19,3992,63,3272,325028,6119,284325
2020-10-20,4029,61,3382,329057,6180,287707
2020-10-21,4069,64,3596,333126,6244,291303
2020-10-22,4157,64,3608,337283,6308,294911
2020-10-23,4143,60,3676,341426,6368,298587
2020-10-24,4148,59,3753,345574,6427,302340
2020-10-25,4127,60,3857,349701,6487,306197
2020-10-26,4121,59,3889,353822,6546,310086
2020-10-27,3957,58,3917,357779,6604,314003
2020-10-28,3924,60,3925,361703,6664,317928
2020-10-29,3989,61,3945,365692,6725,321873
