Date,Confirmed,Deceased,Recovered,Total_Confirmed,Total_Deceased,Total_Recovered
2020-05-27,376,23,410,15205,938,7547
2020-05-28,367,22,454,15572,960,8001
2020-05-29,372,20,608,15944,980,8609
2020-05-30,412,27,621,16356,1007,9230
2020-05-31,438,31,689,16794,1038,9919
2020-06-01,423,25,861,17217,1063,10780
2020-06-02,415,29,1114,17632,1092,11894
2020-06-03,485,30,318,18117,1122,12212
2020-06-04,492,33,455,18609,1155,12667
2020-06-05,510,35,344,19119,1190,13011
2020-06-06,498,29,313,19617,1219,13324
2020-06-07,480,30,319,20097,1249,13643
2020-06-08,477,31,321,20574,1280,13964
2020-06-09,470,33,409,21044,1313,14373
2020-06-10,510,34,370,21554,1347,14743
2020-06-11,513,38,366,22067,1385,15109
2020-06-12,495,31,392,22562,1416,15501
2020-06-13,517,33,390,23079,1449,15891
2020-06-14,511,29,442,23590,1478,16333
2020-06-15,514,28,339,24104,1506,16672
2020-06-16,524,28,418,24628,1534,17090
2020-06-17,520,27,348,25148,1561,17438
2020-06-18,510,31,389,25658,1592,17827
2020-06-19,540,27,340,26198,1619,18167
2020-06-20,539,20,535,26737,1639,18702
2020-06-21,580,25,655,27317,1664,19357
2020-06-22,563,21,560,27880,1685,19917
2020-06-23,549,26,604,28429,1711,20521
2020-06-24,572,25,575,29001,1736,21096
2020-06-25,577,18,410,29578,1754,21506
2020-06-26,580,18,532,30158,1772,22038
2020-06-27,615,18,379,30773,1790,22417
2020-06-28,624,19,391,31397,1809,22808
2020-06-29,626,19,440,32023,1828,23248
2020-06-30,620,20,422,32643,1848,23670
2020-07-01,675,21,368,33318,1869,24038
2020-07-02,681,19,563,33999,1888,24601
2020-07-03,687,18,340,34686,1906,24941
2020-07-04,712,21,473,35398,1927,25414
2020-07-05,725,18,486,36123,1945,25900
2020-07-06,735,17,423,36858,1962,26323
2020-07-07,778,17,421,37636,1979,26744
2020-07-08,783,16,569,38419,1995,27313
2020-07-09,861,15,429,39280,2010,27742
2020-07-10,875,14,441,40155,2024,28183
2020-07-11,872,10,502,41027,2034,28685
2020-07-12,879,13,513,41906,2047,29198
2020-07-13,902,10,608,42808,2057,29806
2020-07-14,915,14,749,43723,2071,30555
2020-07-15,925,10,791,44648,2081,31346
2020-07-16,919,10,828,45567,2091,32174
2020-07-17,949,17,770,46516,2108,32944
2020-07-18,960,19,1062,47476,2127,34006
2020-07-19,965,20,877,48441,2147,34883
2020-07-20,998,20,777,49439,2167,35660
2020-07-21,1026,34,744,50465,2201,36404
2020-07-22,1020,28,837,51485,2229,37241
2020-07-23,1078,28,718,52563,2257,37959
2020-07-24,1068,26,872,53631,2283,38831
2020-07-25,1081,22,782,54712,2305,39613
2020-07-26,1110,21,753,55822,2326,40366
2020-07-27,1052,22,1015,56874,2348,41381
2020-07-28,1108,24,1032,57982,2372,42413
2020-07-29,1144,24,783,59126,2396,43196
2020-07-30,1159,22,879,60285,2418,44075
2020-07-31,1153,22,833,61438,2440,44908
2020-08-01,1136,24,875,62574,2464,45783
2020-08-02,1101,22,805,63675,2486,46588
2020-08-03,1009,22,974,64684,2508,47562
2020-08-04,1020,25,898,65704,2533,48460
2020-08-05,1073,23,1046,66777,2556,49506
2020-08-06,1034,27,917,67811,2583,50423
2020-08-07,1074,22,1370,68885,2605,51793
2020-08-08,1101,23,1135,69986,2628,52928
2020-08-09,1078,25,1311,71064,2653,54239
2020-08-10,1056,20,1138,72120,2673,55377
2020-08-11,1118,23,1140,73238,2696,56517
